"X(mm)","Z(mm)"
"0.000",""
"0.047",""
"0.095",""
"0.142","0.021"
"0.189","0.013"
"0.236","0.011"
"0.284","0.019"
"0.331","0.030"
"0.378","0.037"
"0.425","0.037"
"0.473","0.028"
"0.520","0.019"
"0.567","0.019"
"0.614","0.025"
"0.662","0.025"
"0.709","0.016"
"0.756","0.010"
"0.803","0.011"
"0.851","0.015"
"0.898","0.016"
"0.945","0.011"
"0.992","0.008"
"1.040","0.008"
"1.087","0.013"
"1.134","0.018"
"1.181","0.020"
"1.229","0.018"
"1.276","0.014"
"1.323","0.011"
"1.370","0.015"
"1.418","0.025"
"1.465","0.036"
"1.512","0.037"
"1.559","0.023"
"1.607","0.007"
"1.654","0.002"
"1.701","0.013"
"1.748","0.029"
"1.796","0.040"
"1.843","0.041"
"1.890","0.037"
"1.938","0.032"
"1.985","0.028"
"2.032","0.024"
"2.079","0.021"
"2.127","0.019"
"2.174","0.021"
"2.221","0.030"
"2.268","0.037"
"2.316","0.035"
"2.363","0.027"
"2.410","0.021"
"2.457","0.020"
"2.505","0.020"
"2.552","0.020"
"2.599","0.021"
"2.646","0.023"
"2.694","0.024"
"2.741","0.021"
"2.788","0.012"
"2.835","0.003"
"2.883","0.004"
"2.930","0.015"
"2.977","0.024"
"3.024","0.020"
"3.072","0.013"
"3.119","0.014"
"3.166","0.022"
"3.213","0.029"
"3.261","0.031"
"3.308","0.028"
"3.355","0.023"
"3.402","0.020"
"3.450","0.021"
"3.497","0.025"
"3.544","0.027"
"3.591","0.025"
"3.639","0.022"
"3.686","0.022"
"3.733","0.023"
"3.781","0.023"
"3.828","0.022"
"3.875","0.021"
"3.922","0.020"
"3.970","0.019"
"4.017","0.020"
"4.064","0.022"
"4.111","0.023"
"4.159","0.023"
"4.206","0.020"
"4.253","0.019"
"4.300","0.020"
"4.348","0.023"
"4.395","0.025"
"4.442","0.025"
"4.489","0.025"
"4.537","0.026"
"4.584","0.025"
"4.631","0.022"
"4.678","0.016"
"4.726","0.016"
"4.773","0.020"
"4.820","0.024"
"4.867","0.024"
"4.915","0.022"
"4.962","0.021"
"5.009","0.021"
"5.056","0.021"
"5.104","0.022"
"5.151","0.023"
"5.198","0.024"
"5.245","0.024"
"5.293","0.022"
"5.340","0.020"
"5.387","0.017"
"5.434","0.015"
"5.482","0.015"
"5.529","0.017"
"5.576","0.019"
"5.624","0.020"
"5.671","0.020"
"5.718","0.020"
"5.765","0.022"
"5.813","0.025"
"5.860","0.026"
"5.907","0.027"
"5.954","0.027"
"6.002","0.029"
"6.049","0.032"
"6.096","0.034"
"6.143","0.036"
"6.191","0.035"
"6.238","0.034"
"6.285","0.035"
"6.332","0.036"
"6.380","0.036"
"6.427","0.035"
"6.474","0.035"
"6.521","0.036"
"6.569","0.038"
"6.616","0.039"
"6.663","0.036"
"6.710","0.033"
"6.758","0.031"
"6.805","0.031"
"6.852","0.032"
"6.899","0.033"
"6.947","0.032"
"6.994","0.030"
"7.041","0.029"
"7.088","0.031"
"7.136","0.034"
"7.183","0.035"
"7.230","0.034"
"7.277","0.033"
"7.325","0.032"
"7.372","0.033"
"7.419","0.035"
"7.467","0.037"
"7.514","0.036"
"7.561","0.036"
"7.608","0.037"
"7.656","0.038"
"7.703","0.038"
"7.750","0.037"
"7.797","0.037"
"7.845","0.038"
"7.892","0.039"
"7.939","0.039"
"7.986","0.037"
"8.034","0.038"
"8.081","0.040"
"8.128","0.043"
"8.175","0.044"
"8.223","0.043"
"8.270","0.040"
"8.317","0.038"
"8.364","0.040"
"8.412","0.044"
"8.459","0.046"
"8.506","0.045"
"8.553","0.045"
"8.601","0.045"
"8.648","0.044"
"8.695","0.043"
"8.742","0.041"
"8.790","0.042"
"8.837","0.043"
"8.884","0.044"
"8.931","0.044"
"8.979","0.043"
"9.026","0.042"
"9.073","0.042"
"9.120","0.043"
"9.168","0.044"
"9.215","0.043"
"9.262","0.041"
"9.310","0.039"
"9.357","0.037"
"9.404","0.035"
"9.451","0.034"
"9.499","0.034"
"9.546","0.034"
"9.593","0.034"
"9.640","0.035"
"9.688","0.037"
"9.735","0.039"
"9.782","0.040"
"9.829","0.041"
"9.877","0.040"
"9.924","0.040"
"9.971","0.039"
"10.018","0.038"
"10.066","0.037"
"10.113","0.037"
"10.160","0.037"
"10.207","0.035"
"10.255","0.031"
"10.302","0.031"
"10.349","0.039"
"10.396","0.062"
"10.444","0.101"
"10.491","0.150"
"10.538","0.200"
"10.585","0.256"
"10.633","0.314"
"10.680","0.363"
"10.727","0.393"
"10.774","0.420"
"10.822","0.455"
"10.869","0.499"
"10.916","0.553"
"10.963","0.614"
"11.011","0.666"
"11.058","0.699"
"11.105","0.729"
"11.153","0.787"
"11.200","0.862"
"11.247","0.927"
"11.294","0.968"
"11.342","0.995"
"11.389","1.030"
"11.436","1.078"
"11.483","1.131"
"11.531","1.175"
"11.578","1.203"
"11.625","1.228"
"11.672","1.259"
"11.720","1.295"
"11.767","1.334"
"11.814","1.377"
"11.861","1.424"
"11.909","1.475"
"11.956","1.522"
"12.003","1.566"
"12.050","1.612"
"12.098","1.651"
"12.145","1.684"
"12.192","1.714"
"12.239","1.749"
"12.287","1.791"
"12.334","1.835"
"12.381","1.876"
"12.428","1.912"
"12.476","1.945"
"12.523","1.977"
"12.570","2.009"
"12.617","2.037"
"12.665","2.063"
"12.712","2.089"
"12.759","2.117"
"12.806","2.146"
"12.854","2.175"
"12.901","2.200"
"12.948","2.225"
"12.996","2.249"
"13.043","2.272"
"13.090","2.296"
"13.137","2.321"
"13.185","2.345"
"13.232","2.368"
"13.279","2.392"
"13.326","2.416"
"13.374","2.439"
"13.421","2.460"
"13.468","2.480"
"13.515","2.500"
"13.563","2.519"
"13.610","2.537"
"13.657","2.555"
"13.704","2.573"
"13.752","2.589"
"13.799","2.605"
"13.846","2.620"
"13.893","2.635"
"13.941","2.650"
"13.988","2.664"
"14.035","2.677"
"14.082","2.691"
"14.130","2.706"
"14.177","2.721"
"14.224","2.736"
"14.271","2.750"
"14.319","2.764"
"14.366","2.777"
"14.413","2.790"
"14.460","2.803"
"14.508","2.816"
"14.555","2.828"
"14.602","2.839"
"14.649","2.850"
"14.697","2.860"
"14.744","2.870"
"14.791","2.880"
"14.839","2.891"
"14.886","2.902"
"14.933","2.913"
"14.980","2.923"
"15.028","2.932"
"15.075","2.941"
"15.122","2.950"
"15.169","2.959"
"15.217","2.967"
"15.264","2.974"
"15.311","2.981"
"15.358","2.988"
"15.406","2.996"
"15.453","3.003"
"15.500","3.011"
"15.547","3.020"
"15.595","3.028"
"15.642","3.036"
"15.689","3.042"
"15.736","3.048"
"15.784","3.055"
"15.831","3.062"
"15.878","3.068"
"15.925","3.074"
"15.973","3.080"
"16.020","3.085"
"16.067","3.090"
"16.114","3.094"
"16.162","3.098"
"16.209","3.102"
"16.256","3.106"
"16.303","3.111"
"16.351","3.116"
"16.398","3.121"
"16.445","3.124"
"16.492","3.127"
"16.540","3.131"
"16.587","3.136"
"16.634","3.140"
"16.682","3.143"
"16.729","3.147"
"16.776","3.150"
"16.823","3.152"
"16.871","3.155"
"16.918","3.159"
"16.965","3.163"
"17.012","3.165"
"17.060","3.169"
"17.107","3.174"
"17.154","3.178"
"17.201","3.178"
"17.249","3.179"
"17.296","3.180"
"17.343","3.182"
"17.390","3.184"
"17.438","3.185"
"17.485","3.185"
"17.532","3.185"
"17.579","3.186"
"17.627","3.187"
"17.674","3.189"
"17.721","3.191"
"17.768","3.192"
"17.816","3.192"
"17.863","3.191"
"17.910","3.192"
"17.957","3.192"
"18.005","3.192"
"18.052","3.196"
"18.099","3.204"
"18.146","3.211"
"18.194","3.210"
"18.241","3.201"
"18.288","3.190"
"18.335","3.181"
"18.383","3.175"
"18.430","3.171"
"18.477","3.167"
"18.525","3.164"
"18.572","3.163"
"18.619","3.160"
"18.666","3.157"
"18.714","3.153"
"18.761","3.149"
"18.808","3.146"
"18.855","3.142"
"18.903","3.139"
"18.950","3.136"
"18.997","3.132"
"19.044","3.129"
"19.092","3.125"
"19.139","3.121"
"19.186","3.118"
"19.233","3.114"
"19.281","3.111"
"19.328","3.109"
"19.375","3.107"
"19.422","3.103"
"19.470","3.097"
